Index,Link,Label,Text,FileName,Transcription,sort_key
1.0,https://www.tiktok.com/@1tashyat/video/7359361840343780638,1,"""ST Anselm College. She's a Republican. This will be the first election that she has voted in. What's her question for the President Kaitlan? Hello, President Chung. Thank you so much for coming. Thank you. The current administration has made it clear that we should continue to provide military equipment to Ukraine so that they can defend themselves. Do you support this decision? And how would you deal with the increasing threat posed by Vladimir Putin? First of all, thank you very much. It's really nice and it's an important question so important because we're giving away so much equipment. We don't have ammunition for ourselves right now. We don't have ammunition for, we're giving away so much. But here's the thing I have to say it to start off no longer matters. If I were president, this would have never happened. And even the Democrats admit that Putin knew it would have never happened and his pipeline would have never happened. A lot of things would have never happened, but this would never happen. And all those dead people, both Russian and Ukrainian, they wouldn't be dead today and all those cities that have blown up and disintegrated. Right. To the ground that wouldn't have happened. Ok. Now, here's the problem we've given so far $171 billion they've given meaning, meaning European Union, which is approximately the same size altogether as our economy. They've given about 20. So we're at 170 let's say, and they're at 20 you don't have to know too much about history to realize or geography to realize that they're a little bit more effective than we are. Ok. So they've got to put up a lot more money because they're taking advantage of us like every other country. That's why I ended NAFTA and replaced it with the US MC Mexico on this issue, Mr President. I should know, I don't know any Democrats who have said they don't believe Putin would have invaded if you were president. But her question is, would you continue to give Ukraine money and weapons if you're elected? What's the answer? I have a very good relationship with President Zelinski because as you know, he backed me up with a phony impeachment, impeachment hoax. Number one when he said the president didn't do anything wrong. So I, I happen to like, that's right and I was totally exonerated by the way, just a waste of time and money. You were impeached. The question is Ukraine was by a crazy woman named Nancy. But the question here is, would you give Ukraine weapons and funding if you were? I would sit down. Let me just put it a nice way. If I'm President, I will have that war settled in one day, 24 hours. They both have weaknesses and they both have strengths and within 24 hours that war will be settled, it will be over. It will be. Absolutely. Do you want Ukraine to win this war? I don't think in terms of winning and losing, I think in terms of getting it settled. So we stop killing all these people and breaking down that you don't think in terms of follow up on that because that's a really important statement. Can you say if you want Ukraine or Russia to win this war? I want everybody to stop dying. They're dying. Russians and Ukrainians, I want them to stop and I'll have that done. I'll have that done in 24 hours. I'll have it done. You need the power of the presidency to do it, but you won't say that you want Ukraine to win you. You know what I'll say, I'll say this. I want Europe to put up more money because they're in for 20 billion. We're in for 170. And they should be, and they should equalize. They have plenty of money. They should equalize. I got with NATO when I sat down, I got them to put up hundreds of billions of dollars that they weren't paying under Obama and Bush and all of these other presidents. That's why they're able to help them fight the war because of the money I got. But I want you, I want Europe to put up more money because they're laughing at us. They think we're a bunch of jerks. We're spending $170 billion for far away land and they're right next door to that land and they're in for 20. I don't think so. When it comes to what's happened there, when you were in office, you said that you respected President Putin, do you still respect him today? He made a tremendous mistake. He made, he was a smart guy. You know, I remember I said he was smart. She was smart. They said he said President Xi of China, right is smart. OK? 1.5 billion people. He's the ruler of 1.5 billion people. I said he is a smart guy. How dare he say he's smart? Of course, he's smart. They want you to say he's a stupid person. Ok? He's not a stupid person. He's very smart, he's very cunning and Putin made a bad mistake. In my opinion, his mistake was going in. He would have never gone in. If I was president, we used to talk about it. Do you?""",1_mp4_trial_2.json,"ST Anselm College. She's a Republican. This will be the first election that she has voted in. What's her question for the President Kaitlan? Hello, President Chung. Thank you so much for coming. Thank you. The current administration has made it clear that we should continue to provide military equipment to Ukraine so that they can defend themselves. Do you support this decision? And how would you deal with the increasing threat posed by Vladimir Putin? First of all, thank you very much. It's really nice and it's an important question so important because we're giving away so much equipment. We don't have ammunition for ourselves right now. We don't have ammunition for, we're giving away so much. But here's the thing I have to say it to start off no longer matters. If I were president, this would have never happened. And even the Democrats admit that Putin knew it would have never happened and his pipeline would have never happened. A lot of things would have never happened, but this would never happen. And all those dead people, both Russian and Ukrainian, they wouldn't be dead today and all those cities that have blown up and disintegrated. Right. To the ground that wouldn't have happened. Ok. Now, here's the problem we've given so far $171 billion they've given meaning, meaning European Union, which is approximately the same size altogether as our economy. They've given about 20. So we're at 170 let's say, and they're at 20 you don't have to know too much about history to realize or geography to realize that they're a little bit more effective than we are. Ok. So they've got to put up a lot more money because they're taking advantage of us like every other country. That's why I ended NAFTA and replaced it with the US MC Mexico on this issue, Mr President. I should know, I don't know any Democrats who have said they don't believe Putin would have invaded if you were president. But her question is, would you continue to give Ukraine money and weapons if you're elected? What's the answer? I have a very good relationship with President Zelinski because as you know, he backed me up with a phony impeachment, impeachment hoax. Number one when he said the president didn't do anything wrong. So I, I happen to like, that's right and I was totally exonerated by the way, just a waste of time and money. You were impeached. The question is Ukraine was by a crazy woman named Nancy. But the question here is, would you give Ukraine weapons and funding if you were? I would sit down. Let me just put it a nice way. If I'm President, I will have that war settled in one day, 24 hours. They both have weaknesses and they both have strengths and within 24 hours that war will be settled, it will be over. It will be. Absolutely. Do you want Ukraine to win this war? I don't think in terms of winning and losing, I think in terms of getting it settled. So we stop killing all these people and breaking down that you don't think in terms of follow up on that because that's a really important statement. Can you say if you want Ukraine or Russia to win this war? I want everybody to stop dying. They're dying. Russians and Ukrainians, I want them to stop and I'll have that done. I'll have that done in 24 hours. I'll have it done. You need the power of the presidency to do it, but you won't say that you want Ukraine to win you. You know what I'll say, I'll say this. I want Europe to put up more money because they're in for 20 billion. We're in for 170. And they should be, and they should equalize. They have plenty of money. They should equalize. I got with NATO when I sat down, I got them to put up hundreds of billions of dollars that they weren't paying under Obama and Bush and all of these other presidents. That's why they're able to help them fight the war because of the money I got. But I want you, I want Europe to put up more money because they're laughing at us. They think we're a bunch of jerks. We're spending $170 billion for far away land and they're right next door to that land and they're in for 20. I don't think so. When it comes to what's happened there, when you were in office, you said that you respected President Putin, do you still respect him today? He made a tremendous mistake. He made, he was a smart guy. You know, I remember I said he was smart. She was smart. They said he said President Xi of China, right is smart. OK? 1.5 billion people. He's the ruler of 1.5 billion people. I said he is a smart guy. How dare he say he's smart? Of course, he's smart. They want you to say he's a stupid person. Ok? He's not a stupid person. He's very smart, he's very cunning and Putin made a bad mistake. In my opinion, his mistake was going in. He would have never gone in. If I was president, we used to talk about it. Do you?",1
2.0,https://www.tiktok.com/@monkeman317/video/7357721852355071265,1,"""Said though, that if you did run for president, you believe you'd win. Well, I don't know, I think I'd win. I tell you what, I wouldn't go in to lose. I've never gone into losing. And if I did decide to do it, I think I'd be entwined. I would say that I would have a hell of a chance of winning because I think people, I don't know how your audience was, but I think people are tired of seeing the United States ripped off and I can't promise you everything. But I can tell you one thing, this country would make one hell of a lot of money from those people that for 25 years have taken advantage. It wouldn't be the way it's been. Believe me, there's not going to be a president, Donald Trump and Donald Trump will never ever be president of the United States that Trump should not be in this race. He's an absurdity. He is a travesty. Donald Trump will never be elected president United States president of the United States, Mr Trump to answer your call for political honesty. I just want to say you're not going to be president. All right. It's been fun. Great. I love you. But, but, but come on, come on, buddy. All, let's say cow poo poo. Aside, there is zero chance. We'll be seeing you being sworn in on the Capitol steps with your hand on a giant golden b upset victory. One of the most things never ever quit.""",2_mp4_trial_2.json,"Said though, that if you did run for president, you believe you'd win. Well, I don't know, I think I'd win. I tell you what, I wouldn't go in to lose. I've never gone into losing. And if I did decide to do it, I think I'd be entwined. I would say that I would have a hell of a chance of winning because I think people, I don't know how your audience was, but I think people are tired of seeing the United States ripped off and I can't promise you everything. But I can tell you one thing, this country would make one hell of a lot of money from those people that for 25 years have taken advantage. It wouldn't be the way it's been. Believe me, there's not going to be a president, Donald Trump and Donald Trump will never ever be president of the United States that Trump should not be in this race. He's an absurdity. He is a travesty. Donald Trump will never be elected president United States president of the United States, Mr Trump to answer your call for political honesty. I just want to say you're not going to be president. All right. It's been fun. Great. I love you. But, but, but come on, come on, buddy. All, let's say cow poo poo. Aside, there is zero chance. We'll be seeing you being sworn in on the Capitol steps with your hand on a giant golden b upset victory. One of the most things never ever quit.",2
3.0,https://www.tiktok.com/@bwtgrils_/video/7362575116322098450,1,Yeah.',3_mp4_trial_2.json,Yeah.,3
4.0,https://www.tiktok.com/@followingblaze/video/7360694268257946926,1,"""Going on. It's shocking. They talk about the fact that the big problem in America is income inequality. And my position is the big problem in this country is income equality, not inequality. And I'll tell you why I've broken this up into the bottom 20% of income earners, the 2nd 20% of income earners and the next 20% of income earners. And what you're gonna notice is in the bottom 20%. These people only about 33% of them work at all. And as a result, they make about $7500 a year on average, that's what they earn. The next 20% 85% of them are employed full time and they earn about $31,000 a year. Ok? Where these people earn about 7500. But when the government gets through with the entitlement programs, look at the difference. Wow, $1000 difference. So here's my question. Psychologically, why would you work? Seriously? I'll bet you in terms of net purchasing power, these people have more. Why they don't spend money on commuting? They don't spend money on wardrobe, they don't have any overhead because they don't do anything. These people 90 plus percent work and they earned $66,000 on average. But because they pay actual taxes, they only net 61. So the difference between here and here is only $11,000. We're paying people not to work. Now. Is it just me or is the system turned on its head?""",4_mp4_trial_2.json,"Going on. It's shocking. They talk about the fact that the big problem in America is income inequality. And my position is the big problem in this country is income equality, not inequality. And I'll tell you why I've broken this up into the bottom 20% of income earners, the 2nd 20% of income earners and the next 20% of income earners. And what you're gonna notice is in the bottom 20%. These people only about 33% of them work at all. And as a result, they make about $7500 a year on average, that's what they earn. The next 20% 85% of them are employed full time and they earn about $31,000 a year. Ok? Where these people earn about 7500. But when the government gets through with the entitlement programs, look at the difference. Wow, $1000 difference. So here's my question. Psychologically, why would you work? Seriously? I'll bet you in terms of net purchasing power, these people have more. Why they don't spend money on commuting? They don't spend money on wardrobe, they don't have any overhead because they don't do anything. These people 90 plus percent work and they earned $66,000 on average. But because they pay actual taxes, they only net 61. So the difference between here and here is only $11,000. We're paying people not to work. Now. Is it just me or is the system turned on its head?",4
5.0,https://www.tiktok.com/@andremovzu6/video/7357748797247704363,1,',5_mp4_trial_2.json,,5
6.0,https://www.tiktok.com/@nathans1mp/video/7360760908806688032,1,"I just got three things to say. God bless our troops. God bless. Yeah. Oh, man. What? Yeah.'",6_mp4_trial_2.json,"I just got three things to say. God bless our troops. God bless. Yeah. Oh, man. What? Yeah.",6
7.0,https://www.tiktok.com/@andremovzu6/video/7367970085698276650,1,"""It's Thug life. Sorry.""",7_mp4_trial_2.json,It's Thug life. Sorry.,7
8.0,https://www.tiktok.com/@2024usa/video/7360080451010137377,1,"""So what would you do right now in Ukraine, if you were the president, Putin uses the N word, I call it the N word. He uses the N word, the nuclear word all the time. That's a, no, no, you're not supposed to do that. He uses it on a daily basis and everybody is so afraid. So afraid, so afraid. And as they're afraid he uses it more and more. That's why he's doing the kind of things he's doing, he's doing them because he thinks nobody going to ever attack us because they're all stupid and they're afraid to talk about with you instead of, you know, kowtowing instead of Biden saying, oh, he's got nuclear weapons. He keeps saying he's got we have better weapons that we have the greatest submarine power in history. What would you say? And do, I would say we have far more than you do, more powerful than you and you can't use that word ever again. You cannot use the nuclear word ever again. And if you do, we're going to have problems, you know, I confronted Kim Jong Un and all of a sudden I got a call, they'd like to meet. He said I have a red button on my desk, meaning a nuclear button. I said I have a red button on my desk too, but it's bigger and stronger than yours. And mine works.""",8_mp4_trial_2.json,"So what would you do right now in Ukraine, if you were the president, Putin uses the N word, I call it the N word. He uses the N word, the nuclear word all the time. That's a, no, no, you're not supposed to do that. He uses it on a daily basis and everybody is so afraid. So afraid, so afraid. And as they're afraid he uses it more and more. That's why he's doing the kind of things he's doing, he's doing them because he thinks nobody going to ever attack us because they're all stupid and they're afraid to talk about with you instead of, you know, kowtowing instead of Biden saying, oh, he's got nuclear weapons. He keeps saying he's got we have better weapons that we have the greatest submarine power in history. What would you say? And do, I would say we have far more than you do, more powerful than you and you can't use that word ever again. You cannot use the nuclear word ever again. And if you do, we're going to have problems, you know, I confronted Kim Jong Un and all of a sudden I got a call, they'd like to meet. He said I have a red button on my desk, meaning a nuclear button. I said I have a red button on my desk too, but it's bigger and stronger than yours. And mine works.",8
9.0,https://www.tiktok.com/@taylors_main25/video/7357583737325980970,1,"""This is sportscenter. What's up brothers? Special teams, special plays, special players, Christine Alexander Randy Scott alongside.""",9_mp4_trial_2.json,"This is sportscenter. What's up brothers? Special teams, special plays, special players, Christine Alexander Randy Scott alongside.",9
10.0,https://www.tiktok.com/@c.sdesigns/video/7356639662829489451,1,',10_mp4_trial_2.json,,10
